Name of Student,Graduation Year,Location,University,Department,Degree,Major,Minors,Job Title,Company,Industry,Years of Experience,Technical and Non-technical Skills,Areas of Interest
Emily Walker,2018,Phoenix,Stanford University,Computer Science,BBA,Quantum Computing,Linguistics,Product Manager,IBM,Automotive,3,"TensorFlow, Kubernetes, Java","Data Science, Blockchain"
Bob Walker,2024,Dallas,Harvard University,Biology,BBA,Robotics,Philosophy,Data Scientist,IBM,Finance,27,"Docker, Python, Kubernetes","Renewable Energy, AI"
Jessica Walker,2007,Dallas,Columbia University,Chemistry,B.Sc,Software Engineering,History,Full Stack Developer,IBM,Government,18,"CSS, Keras, Kubernetes","Renewable Energy, Robotics"
Linda Clark,2005,Houston,Columbia University,Computer Science,PhD,Cybersecurity,History,Full Stack Developer,IBM,Retail,14,"Django, Python, HTML","Quantum Computing, Blockchain"
Sarah Johnson,2007,San Diego,University of Chicago,Physics,BBA,Data Science,Law,Operations Manager,IBM,Education,25,"TensorFlow, CSS, React","Blockchain, Robotics"
David Lewis,2002,San Jose,Princeton University,Computer Science,B.Sc,Cybersecurity,Art History,Operations Manager,Netflix,Finance,15,"Kubernetes, JavaScript, CSS","IoT, Business Strategy"
David Smith,2000,San Jose,Harvard University,Civil Engineering,BBA,Financial Engineering,Art History,Software Engineer,Facebook,Education,12,"Java, React, SQL","Business Strategy, IoT"
Jessica Johnson,2017,Phoenix,Stanford University,Biology,B.Tech,Quantum Computing,Law,Research Scientist,Microsoft,Retail,29,"SQL, Kubernetes, Java","Renewable Energy, Cybersecurity"
Sarah Taylor,2005,Houston,Stanford University,Mechanical Engineering,B.Sc,Cybersecurity,Linguistics,DevOps Engineer,Tesla,Energy,4,"JavaScript, CSS, Django","Blockchain, IoT"
Alice Walker,2011,Phoenix,Harvard University,Mechanical Engineering,B.Tech,Renewable Energy,History,Business Analyst,Netflix,Finance,2,"AWS, HTML, React","Renewable Energy, Robotics"
Michael Taylor,2003,Phoenix,Columbia University,Physics,B.Tech,Business Analytics,Political Science,Consultant,Tesla,Energy,15,"Docker, Django, Java","Quantum Computing, IoT"
Michael Lee,2009,Houston,Columbia University,Computer Science,MBA,Data Science,Law,Research Scientist,Apple,Finance,25,"Kubernetes, Django, SQL","Business Strategy, IoT"
Emily Lee,2001,San Diego,Stanford University,Mechanical Engineering,MBA,Cybersecurity,Psychology,DevOps Engineer,Google,Telecommunications,18,"Keras, Python, Docker","Blockchain, Cybersecurity"
Robert Brown,2002,Dallas,Columbia University,Chemistry,PhD,Data Science,Philosophy,Software Engineer,IBM,Consulting,7,"Docker, Django, TensorFlow","Quantum Computing, Renewable Energy"
Emily Brown,2009,San Jose,Princeton University,Computer Science,BBA,Robotics,Statistics,DevOps Engineer,Netflix,Consulting,1,"Python, HTML, CSS","AI, Quantum Computing"
David Lewis,2010,Los Angeles,MIT,Chemistry,BBA,Artificial Intelligence,Statistics,Software Engineer,Tesla,Automotive,21,"Docker, Python, HTML","Quantum Computing, Business Strategy"
Sarah Brown,2004,Los Angeles,Princeton University,Electrical Engineering,BBA,Financial Engineering,Art History,Operations Manager,Adobe,Technology,5,"Django, JavaScript, Docker","Business Strategy, Quantum Computing"
David Taylor,2023,Chicago,University of Chicago,Computer Science,MBA,Quantum Computing,Philosophy,Consultant,Amazon,Finance,4,"Git, Java, JavaScript","Cybersecurity, Blockchain"
Jessica Walker,2003,Philadelphia,Yale University,Economics,B.Tech,Data Science,History,Software Engineer,Facebook,Education,20,"Django, Keras, SQL","Blockchain, Data Science"
Linda Taylor,2023,San Jose,Stanford University,Civil Engineering,B.Sc,Business Analytics,Art History,DevOps Engineer,Amazon,Healthcare,6,"AWS, HTML, Java","Business Strategy, Cybersecurity"
Sarah Taylor,2011,New York,"University of California, Berkeley",Electrical Engineering,PhD,Software Engineering,Art History,Consultant,Netflix,Retail,16,"React, TensorFlow, Python","AI, Data Science"
John Lewis,2003,Philadelphia,Yale University,Electrical Engineering,MBA,Business Analytics,Law,Full Stack Developer,Facebook,Finance,24,"AWS, SQL, TensorFlow","Blockchain, IoT"
Bob Walker,2016,San Antonio,University of Chicago,Mathematics,M.Sc,Data Science,History,Product Manager,Tesla,Automotive,25,"Keras, Python, Java","ML, Data Science"
Robert Lewis,2001,San Antonio,University of Pennsylvania,Physics,M.Sc,Artificial Intelligence,Political Science,Software Engineer,IBM,Government,5,"Python, SQL, TensorFlow","Quantum Computing, Robotics"
David Smith,2008,Philadelphia,University of Pennsylvania,Civil Engineering,M.Sc,Data Science,Law,Software Engineer,Apple,Retail,30,"TensorFlow, SQL, CSS","Quantum Computing, Blockchain"
Robert Lee,2018,Houston,University of Chicago,Physics,BBA,Business Analytics,History,Business Analyst,Tesla,Energy,20,"TensorFlow, Kubernetes, HTML","Quantum Computing, Cybersecurity"
Emily Walker,2024,New York,Harvard University,Chemistry,M.Tech,Financial Engineering,History,DevOps Engineer,Adobe,Consulting,26,"C++, Docker, Kubernetes","Blockchain, Data Science"
Jessica Johnson,2016,San Jose,University of Chicago,Computer Science,PhD,Business Analytics,Philosophy,DevOps Engineer,Netflix,Education,17,"Keras, React, JavaScript","Blockchain, Cybersecurity"
John Scott,2000,San Jose,Yale University,Physics,BBA,Robotics,Philosophy,Operations Manager,Microsoft,Automotive,9,"JavaScript, Keras, SQL","Cybersecurity, Blockchain"
John Johnson,2001,Los Angeles,MIT,Mechanical Engineering,BBA,Financial Engineering,Psychology,Full Stack Developer,Amazon,Retail,19,"HTML, React, AWS","Blockchain, AI"
Alice Anderson,2016,San Jose,"University of California, Berkeley",Computer Science,MBA,Renewable Energy,Law,Consultant,Intel,Telecommunications,29,"AWS, Java, CSS","ML, Renewable Energy"
Linda Lee,2024,Los Angeles,Columbia University,Electrical Engineering,B.Tech,Financial Engineering,Environmental Science,Research Scientist,Apple,Education,19,"Keras, Git, JavaScript","Business Strategy, Blockchain"
Bob Taylor,2018,Philadelphia,Yale University,Mechanical Engineering,MBA,Software Engineering,Political Science,Operations Manager,Microsoft,Healthcare,13,"SQL, CSS, TensorFlow","ML, Cybersecurity"
Michael Smith,2022,Houston,University of Pennsylvania,Electrical Engineering,MBA,Software Engineering,Psychology,Full Stack Developer,IBM,Consulting,9,"C++, Docker, Java","IoT, Cybersecurity"
Emily Johnson,2010,Dallas,Stanford University,Electrical Engineering,MBA,Quantum Computing,Sociology,Full Stack Developer,Apple,Education,14,"Git, Docker, HTML","Cybersecurity, AI"
Michael Lewis,2002,Dallas,Columbia University,Computer Science,BBA,Artificial Intelligence,History,Full Stack Developer,IBM,Automotive,1,"TensorFlow, HTML, Django","Robotics, Data Science"
Alice Anderson,2016,San Jose,Harvard University,Business Administration,MBA,Renewable Energy,Statistics,Business Analyst,Google,Technology,15,"TensorFlow, React, HTML","Renewable Energy, Robotics"
Linda Clark,2007,San Diego,Stanford University,Mathematics,B.Sc,Financial Engineering,Philosophy,Consultant,Facebook,Retail,12,"Kubernetes, C++, Django","IoT, Data Science"
Linda Taylor,2008,New York,California Institute of Technology,Physics,B.Tech,Robotics,Art History,Full Stack Developer,Tesla,Government,8,"C++, Kubernetes, SQL","AI, Data Science"
Jessica Taylor,2013,Houston,"University of California, Berkeley",Electrical Engineering,B.Sc,Software Engineering,Linguistics,Research Scientist,Tesla,Consulting,19,"Java, Django, Python","ML, Blockchain"
Emily Lee,2013,New York,"University of California, Berkeley",Computer Science,B.Tech,Robotics,Statistics,Operations Manager,Netflix,Energy,15,"Django, Keras, HTML","Business Strategy, Renewable Energy"
John Walker,2013,Dallas,Stanford University,Electrical Engineering,MBA,Robotics,Psychology,Full Stack Developer,Amazon,Automotive,10,"React, Java, Docker","Quantum Computing, ML"
Jessica Walker,2015,Dallas,"University of California, Berkeley",Business Administration,M.Tech,Quantum Computing,Sociology,Operations Manager,Amazon,Consulting,15,"C++, TensorFlow, Kubernetes","AI, Business Strategy"
Jessica Clark,2008,Phoenix,Harvard University,Mechanical Engineering,BBA,Business Analytics,History,Business Analyst,Intel,Education,5,"TensorFlow, Docker, CSS","Robotics, Business Strategy"
Emily Smith,2016,Phoenix,University of Chicago,Mechanical Engineering,MBA,Business Analytics,Linguistics,Business Analyst,Microsoft,Consulting,10,"Kubernetes, AWS, HTML","Data Science, ML"
Jessica Scott,2011,San Diego,University of Pennsylvania,Biology,PhD,Data Science,History,Business Analyst,Tesla,Government,17,"React, Keras, Docker","Quantum Computing, IoT"
Alice Brown,2003,Los Angeles,Columbia University,Mathematics,B.Tech,Financial Engineering,Sociology,Operations Manager,Adobe,Retail,30,"Django, Python, TensorFlow","Renewable Energy, Business Strategy"
David Smith,2009,New York,University of Pennsylvania,Electrical Engineering,B.Sc,Renewable Energy,Psychology,Business Analyst,Netflix,Government,4,"JavaScript, AWS, Python","ML, Robotics"
Emily Walker,2002,Los Angeles,University of Pennsylvania,Mathematics,BBA,Renewable Energy,Statistics,Product Manager,Facebook,Healthcare,20,"CSS, Docker, Git","IoT, AI"
John Taylor,2002,Dallas,University of Pennsylvania,Business Administration,M.Sc,Renewable Energy,Art History,Product Manager,Microsoft,Consulting,4,"SQL, TensorFlow, Django","Blockchain, Robotics"
Emily Anderson,2024,San Jose,Stanford University,Mathematics,M.Sc,Financial Engineering,Statistics,Operations Manager,Netflix,Consulting,2,"Git, Docker, Django","Renewable Energy, Business Strategy"
Linda Scott,2015,San Diego,University of Pennsylvania,Electrical Engineering,B.Tech,Cybersecurity,History,Consultant,Microsoft,Automotive,20,"AWS, Docker, Django","AI, Blockchain"
Sarah Clark,2012,Chicago,California Institute of Technology,Computer Science,M.Sc,Robotics,Art History,Data Scientist,Adobe,Energy,10,"Docker, Kubernetes, TensorFlow","Cybersecurity, Business Strategy"
Jessica Clark,2001,Los Angeles,Yale University,Chemistry,M.Sc,Machine Learning,History,Research Scientist,Netflix,Telecommunications,30,"TensorFlow, HTML, Java","ML, AI"
Jessica Lewis,2002,San Jose,"University of California, Berkeley",Business Administration,BBA,Financial Engineering,Linguistics,Product Manager,Google,Retail,15,"React, AWS, C++","Quantum Computing, Renewable Energy"
Jessica Lee,2005,Philadelphia,University of Chicago,Mathematics,BBA,Data Science,Political Science,DevOps Engineer,Google,Finance,4,"Docker, AWS, JavaScript","Business Strategy, AI"
Linda Brown,2021,Chicago,Stanford University,Chemistry,MBA,Artificial Intelligence,Sociology,DevOps Engineer,Netflix,Technology,1,"CSS, Git, C++","Cybersecurity, Data Science"
Robert Smith,2009,San Antonio,"University of California, Berkeley",Physics,M.Sc,Business Analytics,Art History,Product Manager,Google,Government,11,"Django, JavaScript, Keras","Robotics, Cybersecurity"
John Brown,2021,Phoenix,Harvard University,Mechanical Engineering,M.Sc,Artificial Intelligence,Linguistics,Product Manager,Intel,Retail,24,"Django, AWS, Keras","Blockchain, ML"
John Anderson,2010,New York,University of Chicago,Mechanical Engineering,B.Tech,Quantum Computing,Art History,Research Scientist,Tesla,Retail,22,"Git, TensorFlow, C++","Cybersecurity, ML"
Linda Johnson,2013,Los Angeles,University of Pennsylvania,Civil Engineering,PhD,Artificial Intelligence,History,DevOps Engineer,Adobe,Finance,30,"TensorFlow, CSS, Python","Cybersecurity, ML"
Emily Clark,2004,Phoenix,Princeton University,Mechanical Engineering,BBA,Robotics,Political Science,Software Engineer,Netflix,Finance,10,"React, CSS, TensorFlow","Renewable Energy, IoT"
Sarah Johnson,2014,Philadelphia,California Institute of Technology,Business Administration,B.Tech,Software Engineering,Philosophy,Research Scientist,Microsoft,Consulting,27,"Git, Docker, SQL","Quantum Computing, Cybersecurity"
Sarah Lee,2020,San Antonio,Stanford University,Civil Engineering,PhD,Business Analytics,Linguistics,Operations Manager,Netflix,Consulting,29,"AWS, Git, JavaScript","Renewable Energy, Blockchain"
Linda Walker,2020,Dallas,University of Chicago,Computer Science,PhD,Financial Engineering,Philosophy,Consultant,Facebook,Consulting,21,"React, Keras, JavaScript","IoT, ML"
Linda Johnson,2023,San Antonio,MIT,Business Administration,B.Tech,Cybersecurity,Linguistics,Research Scientist,IBM,Healthcare,28,"AWS, Python, Docker","Blockchain, IoT"
Bob Scott,2023,Phoenix,Yale University,Chemistry,M.Sc,Renewable Energy,Philosophy,Full Stack Developer,Intel,Consulting,2,"JavaScript, CSS, Git","Business Strategy, Blockchain"
Bob Smith,2000,Chicago,University of Pennsylvania,Physics,MBA,Financial Engineering,Linguistics,Consultant,IBM,Technology,19,"HTML, Kubernetes, Java","Renewable Energy, Quantum Computing"
Sarah Lee,2024,Los Angeles,University of Chicago,Civil Engineering,PhD,Software Engineering,Law,Marketing Manager,Tesla,Technology,5,"React, SQL, C++","AI, Blockchain"
Michael Brown,2011,Houston,Princeton University,Biology,PhD,Robotics,Sociology,Product Manager,Apple,Consulting,12,"Docker, Git, Django","Quantum Computing, ML"
Michael Johnson,2013,Chicago,University of Chicago,Computer Science,M.Tech,Quantum Computing,Political Science,Software Engineer,Tesla,Consulting,1,"Docker, C++, Kubernetes","AI, Quantum Computing"
Alice Lee,2024,Philadelphia,University of Chicago,Business Administration,B.Tech,Renewable Energy,Political Science,Full Stack Developer,IBM,Energy,19,"TensorFlow, CSS, Python","Quantum Computing, AI"
Emily Brown,2019,San Diego,"University of California, Berkeley",Computer Science,B.Sc,Renewable Energy,Art History,Marketing Manager,Amazon,Retail,4,"Python, TensorFlow, SQL","AI, Blockchain"
Robert Smith,2006,San Jose,MIT,Business Administration,B.Tech,Robotics,Art History,Business Analyst,Adobe,Automotive,28,"React, Django, TensorFlow","Data Science, Business Strategy"
John Smith,2010,Los Angeles,University of Pennsylvania,Business Administration,M.Tech,Cybersecurity,Psychology,Data Scientist,Netflix,Education,24,"Django, Keras, React","Business Strategy, Blockchain"
Alice Lewis,2008,New York,Princeton University,Biology,PhD,Quantum Computing,History,Marketing Manager,Tesla,Automotive,17,"AWS, HTML, React","Cybersecurity, Robotics"
John Lee,2007,San Jose,Yale University,Electrical Engineering,M.Sc,Financial Engineering,Statistics,Consultant,Tesla,Finance,7,"Kubernetes, JavaScript, React","Data Science, Business Strategy"
Emily Johnson,2017,Phoenix,Yale University,Mechanical Engineering,M.Tech,Machine Learning,Sociology,Product Manager,Amazon,Healthcare,21,"Git, JavaScript, Kubernetes","IoT, AI"
Linda Walker,2001,Phoenix,Yale University,Business Administration,M.Tech,Renewable Energy,Sociology,Software Engineer,IBM,Healthcare,6,"C++, AWS, SQL","Blockchain, Quantum Computing"
David Smith,2010,San Antonio,Yale University,Physics,M.Tech,Machine Learning,Linguistics,Software Engineer,Google,Consulting,23,"TensorFlow, Python, JavaScript","Renewable Energy, Cybersecurity"
Michael Lewis,2006,New York,Yale University,Computer Science,BBA,Machine Learning,Law,Research Scientist,Apple,Energy,17,"C++, JavaScript, React","Renewable Energy, Data Science"
Alice Clark,2007,Dallas,Yale University,Biology,B.Sc,Financial Engineering,Political Science,Data Scientist,Google,Retail,13,"Java, C++, Python","IoT, Business Strategy"
David Johnson,2019,San Antonio,Yale University,Mechanical Engineering,B.Tech,Robotics,Linguistics,Business Analyst,Apple,Healthcare,29,"HTML, Git, AWS","Blockchain, Quantum Computing"
Robert Anderson,2008,Phoenix,Harvard University,Computer Science,B.Tech,Software Engineering,Linguistics,Full Stack Developer,Facebook,Healthcare,9,"Django, Keras, React","Renewable Energy, Robotics"
Alice Clark,2006,San Jose,Harvard University,Computer Science,MBA,Financial Engineering,Art History,Product Manager,Amazon,Healthcare,2,"SQL, CSS, React","Robotics, Cybersecurity"
Linda Smith,2006,San Diego,Harvard University,Mechanical Engineering,M.Tech,Financial Engineering,Political Science,Product Manager,Facebook,Finance,11,"Java, TensorFlow, Docker","AI, Data Science"
Bob Lewis,2002,Houston,University of Chicago,Business Administration,PhD,Quantum Computing,Sociology,Operations Manager,Tesla,Government,4,"Django, Docker, Java","IoT, Renewable Energy"
Linda Lee,2020,New York,Stanford University,Computer Science,M.Sc,Robotics,Psychology,Full Stack Developer,IBM,Consulting,1,"Python, Django, HTML","Data Science, Blockchain"
Alice Johnson,2011,Philadelphia,Yale University,Chemistry,M.Tech,Data Science,Linguistics,Consultant,Microsoft,Finance,18,"JavaScript, AWS, TensorFlow","AI, Cybersecurity"
Jessica Scott,2018,Phoenix,MIT,Civil Engineering,M.Tech,Business Analytics,Law,Full Stack Developer,Apple,Education,15,"CSS, TensorFlow, HTML","IoT, Quantum Computing"
David Smith,2022,San Jose,Harvard University,Biology,M.Sc,Machine Learning,Political Science,Software Engineer,Intel,Energy,23,"JavaScript, Docker, HTML","AI, Business Strategy"
Sarah Taylor,2019,San Jose,"University of California, Berkeley",Economics,BBA,Robotics,Sociology,Full Stack Developer,Netflix,Technology,24,"CSS, React, C++","Quantum Computing, Renewable Energy"
Emily Anderson,2023,Dallas,California Institute of Technology,Economics,B.Sc,Renewable Energy,History,Research Scientist,Netflix,Consulting,12,"Kubernetes, Keras, JavaScript","Cybersecurity, IoT"
Robert Lee,2006,Houston,University of Chicago,Computer Science,BBA,Cybersecurity,Sociology,Full Stack Developer,Adobe,Telecommunications,3,"Keras, JavaScript, Django","ML, Cybersecurity"
John Lee,2022,Houston,MIT,Computer Science,B.Sc,Robotics,Law,Product Manager,Google,Technology,6,"Django, Kubernetes, TensorFlow","Data Science, Blockchain"
John Taylor,2007,Houston,Yale University,Economics,M.Tech,Business Analytics,Statistics,Marketing Manager,Intel,Education,26,"CSS, JavaScript, React","AI, Data Science"
Alice Taylor,2024,Dallas,Yale University,Computer Science,M.Sc,Data Science,Philosophy,Marketing Manager,Google,Government,9,"Python, Git, React","Data Science, Blockchain"
David Taylor,2022,Chicago,"University of California, Berkeley",Economics,B.Tech,Robotics,Philosophy,Software Engineer,Netflix,Technology,17,"Python, Kubernetes, HTML","IoT, Renewable Energy"
Linda Johnson,2013,Los Angeles,Stanford University,Physics,MBA,Robotics,Philosophy,Full Stack Developer,Microsoft,Technology,29,"C++, JavaScript, Python","Robotics, Blockchain"
Michael Taylor,2023,San Diego,University of Pennsylvania,Chemistry,B.Tech,Robotics,Philosophy,Operations Manager,Adobe,Consulting,6,"HTML, Keras, Python","Quantum Computing, IoT"
John Walker,2018,Philadelphia,University of Pennsylvania,Mathematics,B.Sc,Machine Learning,Art History,Software Engineer,Adobe,Technology,19,"C++, Kubernetes, Python","Robotics, ML"
David Lee,2011,New York,Yale University,Biology,B.Sc,Quantum Computing,Art History,Full Stack Developer,Adobe,Healthcare,27,"Java, JavaScript, Git","Robotics, Renewable Energy"
Alice Lewis,2006,Phoenix,Princeton University,Biology,BBA,Financial Engineering,Environmental Science,Operations Manager,Google,Education,3,"AWS, HTML, TensorFlow","ML, Cybersecurity"
Linda Walker,2016,San Jose,University of Chicago,Mathematics,MBA,Business Analytics,Psychology,Business Analyst,Microsoft,Energy,6,"Python, SQL, Git","AI, Robotics"
Alice Lee,2018,Chicago,University of Chicago,Physics,M.Tech,Machine Learning,Political Science,Marketing Manager,IBM,Government,5,"CSS, TensorFlow, Kubernetes","Blockchain, IoT"
Linda Brown,2015,San Antonio,Columbia University,Business Administration,PhD,Robotics,Law,DevOps Engineer,IBM,Government,2,"AWS, Git, HTML","IoT, Blockchain"
Emily Lee,2012,Dallas,Princeton University,Economics,M.Sc,Quantum Computing,Philosophy,Full Stack Developer,Facebook,Healthcare,28,"TensorFlow, React, Git","Business Strategy, IoT"
David Smith,2007,San Antonio,Columbia University,Business Administration,BBA,Business Analytics,Statistics,Full Stack Developer,Intel,Consulting,18,"Keras, React, AWS","Renewable Energy, Business Strategy"
John Scott,2023,Chicago,Stanford University,Civil Engineering,M.Sc,Quantum Computing,Law,Operations Manager,Intel,Healthcare,30,"C++, Kubernetes, JavaScript","AI, Cybersecurity"
John Anderson,2022,Chicago,MIT,Business Administration,MBA,Business Analytics,Sociology,Data Scientist,Google,Education,1,"Git, Java, Docker","Renewable Energy, IoT"
Sarah Lee,2018,Chicago,Princeton University,Computer Science,BBA,Artificial Intelligence,Art History,Operations Manager,Adobe,Energy,3,"Keras, SQL, Python","Quantum Computing, ML"
Linda Scott,2018,Chicago,MIT,Electrical Engineering,PhD,Renewable Energy,Political Science,Marketing Manager,Amazon,Telecommunications,2,"AWS, React, Docker","AI, Renewable Energy"
Jessica Scott,2016,San Antonio,MIT,Mechanical Engineering,M.Tech,Quantum Computing,Sociology,Marketing Manager,Apple,Retail,23,"HTML, Python, Keras","Quantum Computing, ML"
Sarah Anderson,2004,Houston,University of Pennsylvania,Biology,M.Tech,Artificial Intelligence,Psychology,Business Analyst,Amazon,Retail,23,"AWS, Keras, Kubernetes","Quantum Computing, Business Strategy"
Bob Anderson,2009,Philadelphia,University of Pennsylvania,Biology,B.Tech,Quantum Computing,Art History,Product Manager,Facebook,Automotive,16,"Java, Keras, JavaScript","IoT, Business Strategy"
David Taylor,2020,Houston,"University of California, Berkeley",Biology,M.Sc,Quantum Computing,Psychology,Marketing Manager,Tesla,Automotive,27,"TensorFlow, CSS, SQL","Blockchain, Cybersecurity"
Michael Anderson,2024,Chicago,Harvard University,Electrical Engineering,B.Sc,Software Engineering,Political Science,Software Engineer,Apple,Consulting,3,"Django, TensorFlow, JavaScript","Cybersecurity, Data Science"
Michael Scott,2021,Chicago,"University of California, Berkeley",Chemistry,BBA,Artificial Intelligence,Political Science,Data Scientist,Amazon,Government,23,"HTML, JavaScript, Git","Robotics, Quantum Computing"
David Smith,2021,Houston,University of Chicago,Chemistry,B.Sc,Software Engineering,Law,Consultant,Facebook,Energy,10,"JavaScript, Java, Keras","Cybersecurity, ML"
Michael Taylor,2007,Houston,University of Pennsylvania,Chemistry,M.Sc,Software Engineering,Linguistics,DevOps Engineer,Microsoft,Retail,3,"TensorFlow, Kubernetes, C++","Blockchain, Robotics"
Bob Taylor,2002,New York,Princeton University,Economics,B.Sc,Artificial Intelligence,History,Research Scientist,IBM,Healthcare,2,"AWS, SQL, Keras","Blockchain, Quantum Computing"
Sarah Anderson,2010,San Antonio,University of Chicago,Business Administration,B.Sc,Renewable Energy,Sociology,Software Engineer,Facebook,Finance,6,"HTML, React, CSS","Robotics, Business Strategy"
David Walker,2017,Los Angeles,California Institute of Technology,Mathematics,B.Tech,Artificial Intelligence,Environmental Science,Product Manager,Adobe,Telecommunications,15,"React, AWS, HTML","Cybersecurity, Business Strategy"
Michael Lewis,2015,San Antonio,Stanford University,Mechanical Engineering,BBA,Machine Learning,Environmental Science,Business Analyst,Facebook,Energy,5,"Java, Python, Git","Blockchain, Business Strategy"
Alice Lewis,2009,Chicago,Yale University,Economics,B.Sc,Machine Learning,Art History,DevOps Engineer,Google,Energy,11,"Docker, CSS, Git","AI, Blockchain"
John Lewis,2008,Dallas,University of Chicago,Physics,PhD,Cybersecurity,Art History,Full Stack Developer,Apple,Technology,28,"HTML, JavaScript, TensorFlow","Data Science, IoT"
Robert Brown,2002,San Jose,University of Chicago,Mechanical Engineering,PhD,Software Engineering,Political Science,Product Manager,Google,Healthcare,13,"TensorFlow, Docker, React","Data Science, ML"
Linda Clark,2000,Los Angeles,Stanford University,Computer Science,PhD,Data Science,Linguistics,Operations Manager,Intel,Technology,17,"Docker, React, AWS","Renewable Energy, Cybersecurity"
Jessica Scott,2000,Chicago,MIT,Economics,BBA,Cybersecurity,History,Software Engineer,IBM,Telecommunications,12,"JavaScript, CSS, React","Renewable Energy, Blockchain"
Alice Anderson,2008,Houston,Stanford University,Physics,BBA,Cybersecurity,Art History,Full Stack Developer,IBM,Technology,7,"Python, JavaScript, Java","Blockchain, ML"
David Taylor,2000,New York,University of Chicago,Physics,MBA,Robotics,Statistics,Operations Manager,Netflix,Retail,12,"Keras, CSS, Docker","Data Science, IoT"
David Smith,2014,San Diego,"University of California, Berkeley",Civil Engineering,M.Sc,Robotics,Statistics,Research Scientist,Google,Retail,25,"TensorFlow, Django, HTML","Renewable Energy, Data Science"
Emily Taylor,2023,San Diego,Harvard University,Electrical Engineering,B.Tech,Business Analytics,History,Product Manager,Tesla,Energy,25,"Docker, Java, HTML","Business Strategy, Data Science"
Robert Johnson,2008,Houston,Harvard University,Economics,BBA,Financial Engineering,Law,DevOps Engineer,Facebook,Healthcare,14,"Git, Keras, SQL","Renewable Energy, ML"
Emily Anderson,2016,Philadelphia,"University of California, Berkeley",Business Administration,M.Tech,Quantum Computing,History,Business Analyst,Adobe,Technology,9,"React, TensorFlow, Django","Renewable Energy, Cybersecurity"
David Walker,2023,San Antonio,Columbia University,Mathematics,M.Tech,Cybersecurity,Philosophy,Software Engineer,Tesla,Energy,27,"AWS, Java, C++","AI, Robotics"
Alice Scott,2005,Chicago,University of Chicago,Computer Science,MBA,Data Science,Political Science,Business Analyst,Intel,Government,23,"Java, AWS, Docker","ML, Cybersecurity"
Sarah Walker,2008,Dallas,Stanford University,Computer Science,M.Tech,Financial Engineering,Linguistics,Full Stack Developer,Microsoft,Consulting,3,"Docker, Python, C++","Business Strategy, Renewable Energy"
Robert Johnson,2005,San Jose,Yale University,Mathematics,M.Sc,Data Science,Sociology,DevOps Engineer,IBM,Retail,14,"Docker, SQL, Kubernetes","Data Science, Business Strategy"
Alice Scott,2021,Houston,Harvard University,Mathematics,PhD,Machine Learning,Law,Product Manager,Netflix,Education,9,"C++, TensorFlow, HTML","Quantum Computing, IoT"
Michael Scott,2009,San Diego,Stanford University,Economics,B.Tech,Business Analytics,Linguistics,Operations Manager,Adobe,Retail,6,"JavaScript, TensorFlow, C++","Cybersecurity, AI"
John Lewis,2023,New York,Stanford University,Physics,M.Sc,Software Engineering,Psychology,Consultant,Netflix,Energy,3,"SQL, HTML, C++","Renewable Energy, Blockchain"
Bob Scott,2022,San Diego,Princeton University,Economics,M.Sc,Business Analytics,Political Science,Consultant,Microsoft,Consulting,28,"AWS, Django, Kubernetes","Quantum Computing, Data Science"
Robert Walker,2008,Philadelphia,University of Pennsylvania,Biology,BBA,Cybersecurity,Linguistics,Software Engineer,Microsoft,Consulting,26,"TensorFlow, Java, Git","Renewable Energy, Business Strategy"
Robert Lee,2001,Phoenix,California Institute of Technology,Physics,B.Tech,Artificial Intelligence,Political Science,Marketing Manager,Facebook,Technology,14,"SQL, Python, Kubernetes","ML, Renewable Energy"
David Anderson,2001,San Jose,University of Pennsylvania,Electrical Engineering,M.Sc,Data Science,Linguistics,Data Scientist,IBM,Finance,2,"C++, Docker, JavaScript","Robotics, IoT"
Linda Brown,2019,Phoenix,Columbia University,Electrical Engineering,M.Sc,Renewable Energy,Political Science,Consultant,Amazon,Healthcare,28,"AWS, Docker, Git","Blockchain, ML"
Michael Johnson,2024,San Antonio,MIT,Economics,B.Sc,Business Analytics,Philosophy,Marketing Manager,IBM,Energy,28,"Git, TensorFlow, Docker","Renewable Energy, Blockchain"
David Taylor,2003,Dallas,California Institute of Technology,Economics,M.Sc,Machine Learning,Political Science,Business Analyst,Amazon,Healthcare,23,"SQL, Docker, Kubernetes","ML, AI"
Linda Smith,2013,Phoenix,Stanford University,Chemistry,PhD,Renewable Energy,Statistics,Operations Manager,IBM,Energy,24,"Keras, Git, Python","Business Strategy, Robotics"
Robert Lewis,2019,San Diego,Columbia University,Physics,B.Sc,Data Science,Psychology,Marketing Manager,Amazon,Energy,17,"Git, CSS, AWS","Cybersecurity, Data Science"
Emily Anderson,2013,New York,Columbia University,Civil Engineering,M.Sc,Software Engineering,Sociology,Full Stack Developer,Microsoft,Healthcare,9,"Java, Keras, CSS","Quantum Computing, IoT"
Robert Smith,2000,Philadelphia,Princeton University,Electrical Engineering,B.Tech,Quantum Computing,Linguistics,Data Scientist,Facebook,Healthcare,25,"CSS, SQL, C++","Business Strategy, IoT"
Bob Scott,2021,Chicago,University of Chicago,Computer Science,PhD,Quantum Computing,Art History,Consultant,Apple,Automotive,1,"Python, HTML, React","Renewable Energy, Business Strategy"
